doc_id,domain,title,source_type,language,n_sections,n_tokens,n_chunks,avg_chunk_tokens,created_at_utc,last_updated_at_utc,is_active,contains_tables,pii_risk_level,security_tier,embedding_model,owner_team,search_index,top_keywords
DOC0018,hr_policies,"HR guideline on leave for permanent staff (APAC, 2020)",notebook,en,25,777,10,77.7,2024-01-08T00:00:00Z,2024-04-16T00:00:00Z,1,0,low,restricted,text-embedding-3-large,support,policy_index_v1,"performance, leave, probation, contract"
DOC0019,support_faq,Support playbook: handling reset and steps tickets (2019),pdf_manual,en,25,469,5,93.8,2024-02-08T00:00:00Z,2024-05-15T00:00:00Z,1,0,none,public,gte-large,product,global_qa_index_v1,"issue, reset, steps, troubleshooting"
DOC0020,hr_policies,People operations handbook — Performance & Probation (2025),web_article,en,21,1462,19,76.95,2024-03-07T00:00:00Z,2024-08-21T00:00:00Z,1,1,none,internal,text-embedding-3-small,engineering,product_index_v2,"performance, contract, probation, benefits"
DOC0021,policies,"Company policy on privacy and policy (APAC, 2025)",notebook,en,13,384,5,76.8,2024-06-07T00:00:00Z,2024-10-21T00:00:00Z,1,0,low,public,gte-large,marketing,global_qa_index_v1,"privacy, terms, usage, policy"
DOC0022,financial_reports,Business performance review — Q1 2025,spreadsheet,en,7,353,5,70.6,2024-07-07T00:00:00Z,2024-11-03T00:00:00Z,1,1,low,internal,e5-mistral-7b,data,global_qa_index_v1,"cost, margin, segment, revenue"
DOC0023,medical_guides,Clinical guidance on treatment and side effects (2022 edition),internal_doc,en,7,488,6,81.33,2024-05-04T00:00:00Z,2024-09-17T00:00:00Z,1,1,low,public,text-embedding-3-small,engineering,global_qa_index_v1,"treatment, monitoring, side effects, symptoms"
DOC0024,financial_reports,Business performance review — Q3 2019,spreadsheet,en,10,211,3,70.33,2024-04-21T00:00:00Z,2024-08-03T00:00:00Z,1,1,low,internal,text-embedding-3-large,data,product_index_v2,"segment, forecast, margin, revenue"
DOC0025,financial_reports,Quarterly financial summary — Q4 2024 (Global),pdf_manual,en,17,799,11,72.64,2024-10-05T00:00:00Z,2024-12-08T00:00:00Z,1,1,medium,restricted,text-embedding-3-small,engineering,product_index_v2,"forecast, margin, revenue, cost"
DOC0026,product_docs,Admin guide for limits and advanced settings,spreadsheet,en,4,584,7,83.43,2024-01-11T00:00:00Z,2024-06-25T00:00:00Z,1,0,low,restricted,gte-large,legal,product_index_v2,"subscription, limits, pricing, plan"
DOC0027,support_faq,"How to troubleshooting — internal support article (EMEA, 2021)",spreadsheet,en,8,864,9,96.0,2024-12-14T00:00:00Z,2025-03-31T00:00:00Z,1,1,none,public,bge-m3,finance,policy_index_v1,"steps, issue, troubleshooting, ticket"
DOC0028,hr_policies,Employee leave and probation policy — AMER 2021,spreadsheet,en,17,152,2,76.0,2024-10-04T00:00:00Z,2024-12-23T00:00:00Z,1,1,none,internal,gte-large,product,research_index_v1,"contract, probation, benefits, leave"
DOC0029,financial_reports,Business performance review — Q1 2021,web_article,en,17,211,3,70.33,2024-01-02T00:00:00Z,2024-04-09T00:00:00Z,1,0,low,public,all-minilm-l12-v2,engineering,research_index_v1,"segment, cost, margin, forecast"
DOC0030,research_papers,Applied research summary — Results (2023),wiki_page,en,7,226,3,75.33,2024-04-24T00:00:00Z,2024-07-23T00:00:00Z,1,1,none,internal,all-minilm-l12-v2,support,product_index_v2,"baseline, methodology, results, limitation"
DOC0031,financial_reports,Revenue and margin analysis — 2020 Global,spreadsheet,en,14,144,2,72.0,2024-11-21T00:00:00Z,2025-03-26T00:00:00Z,0,1,medium,restricted,all-minilm-l12-v2,support,policy_index_v1,"margin, revenue, forecast, segment"
DOC0032,research_papers,Applied research summary — Limitation (2021),web_article,en,19,528,7,75.43,2024-06-10T00:00:00Z,2024-07-17T00:00:00Z,0,1,none,public,bge-m3,data,research_index_v1,"baseline, dataset, results, limitation"
DOC0033,hr_policies,People operations handbook — Contract & Probation (2024),policy_file,en,25,1771,23,77.0,2024-11-04T00:00:00Z,2024-11-29T00:00:00Z,1,1,none,restricted,bge-m3,finance,product_index_v2,"probation, leave, benefits, contract"
DOC0034,hr_policies,Employee benefits and contract policy — AMER 2024,spreadsheet,en,9,388,5,77.6,2024-11-24T00:00:00Z,2025-01-19T00:00:00Z,1,0,low,restricted,bge-m3,data,product_index_v2,"performance, benefits, probation, contract"
DOC0035,research_papers,Experimental study: Baseline in production systems,notebook,en,18,1192,16,74.5,2024-10-16T00:00:00Z,2025-02-13T00:00:00Z,1,0,none,public,text-embedding-3-large,legal,global_qa_index_v1,"methodology, results, baseline, limitation"
DOC0036,product_docs,Feature reference: Limits (2021 AMER rollout),internal_doc,en,23,1068,13,82.15,2024-01-24T00:00:00Z,2024-04-24T00:00:00Z,1,0,none,internal,gte-large,engineering,policy_index_v1,"features, subscription, limits, plan"
DOC0037,research_papers,Experimental study: Baseline in production systems,spreadsheet,en,24,306,4,76.5,2024-11-07T00:00:00Z,2024-12-13T00:00:00Z,1,0,none,public,bge-m3,legal,global_qa_index_v1,"baseline, methodology, dataset, limitation"
DOC0038,hr_policies,Employee leave and performance policy — AMER 2022,internal_doc,en,11,691,9,76.78,2024-03-07T00:00:00Z,2024-05-17T00:00:00Z,1,1,low,internal,all-minilm-l12-v2,support,product_index_v2,"leave, benefits, performance, probation"
DOC0039,medical_guides,Medication and monitoring guide — Treatment,notebook,en,24,231,3,77.0,2024-07-17T00:00:00Z,2024-10-10T00:00:00Z,1,0,medium,internal,text-embedding-3-small,support,global_qa_index_v1,"dosage, symptoms, treatment, monitoring"
DOC0040,support_faq,"How to reset — internal support article (APAC, 2020)",wiki_page,en,23,475,5,95.0,2024-03-19T00:00:00Z,2024-07-01T00:00:00Z,1,1,low,public,gte-large,engineering,global_qa_index_v1,"issue, reset, ticket, troubleshooting"
DOC0041,developer_docs,API reference: Api endpoint (2020),internal_doc,en,23,237,3,79.0,2024-12-16T00:00:00Z,2025-05-06T00:00:00Z,1,0,low,public,bge-m3,legal,global_qa_index_v1,"api, response, request, authentication"
DOC0042,hr_policies,Employee benefits and performance policy — Global 2024,pdf_manual,en,18,607,8,75.88,2024-10-20T00:00:00Z,2025-03-18T00:00:00Z,0,1,none,restricted,e5-mistral-7b,engineering,global_qa_index_v1,"benefits, leave, probation, performance"
DOC0043,policies,Information governance standard — Policy,spreadsheet,en,25,369,5,73.8,2024-03-02T00:00:00Z,2024-07-18T00:00:00Z,0,0,low,internal,all-minilm-l12-v2,data,research_index_v1,"privacy, compliance, policy, terms"
DOC0044,research_papers,Experimental study: Baseline in production systems,internal_doc,en,25,527,7,75.29,2024-06-18T00:00:00Z,2024-07-24T00:00:00Z,1,1,none,internal,bge-m3,hr,product_index_v2,"baseline, limitation, dataset, results"
DOC0045,policies,Information governance standard — Policy,spreadsheet,en,22,361,5,72.2,2024-02-19T00:00:00Z,2024-03-02T00:00:00Z,1,1,medium,internal,text-embedding-3-small,marketing,product_index_v2,"usage, privacy, compliance, policy"
DOC0046,medical_guides,Medication and monitoring guide — Symptoms,pdf_manual,en,24,1170,15,78.0,2024-08-29T00:00:00Z,2024-11-24T00:00:00Z,1,0,medium,highly_restricted,all-minilm-l12-v2,finance,policy_index_v1,"dosage, side effects, treatment, symptoms"
DOC0047,financial_reports,Business performance review — Q2 2023,internal_doc,en,4,779,11,70.82,2024-11-24T00:00:00Z,2025-01-07T00:00:00Z,1,1,low,internal,bge-m3,product,global_qa_index_v1,"margin, revenue, segment, cost"
DOC0048,product_docs,Product configuration guide — Plan and Subscription,wiki_page,en,23,671,8,83.88,2024-09-06T00:00:00Z,2025-03-02T00:00:00Z,1,0,low,internal,gte-large,data,research_index_v1,"features, subscription, plan, limits"
DOC0049,developer_docs,API reference: Api endpoint (2022),notebook,en,12,319,4,79.75,2024-01-25T00:00:00Z,2024-04-08T00:00:00Z,1,1,low,restricted,gte-large,legal,product_index_v2,"response, endpoint, authentication, api"
DOC0050,product_docs,Feature reference: Plan (2024 APAC rollout),policy_file,en,24,406,5,81.2,2024-03-28T00:00:00Z,2024-08-02T00:00:00Z,1,1,none,internal,bge-m3,product,global_qa_index_v1,"pricing, plan, subscription, limits"
DOC0051,medical_guides,Clinical guidance on monitoring and side effects (2024 edition),pdf_manual,en,26,319,4,79.75,2024-08-12T00:00:00Z,2024-11-03T00:00:00Z,1,1,none,restricted,text-embedding-3-large,legal,product_index_v2,"treatment, monitoring, side effects, symptoms"
DOC0052,financial_reports,Revenue and margin analysis — 2025 Global,policy_file,en,25,215,3,71.67,2024-04-09T00:00:00Z,2024-09-25T00:00:00Z,0,0,medium,highly_restricted,text-embedding-3-large,legal,product_index_v2,"segment, margin, cost, revenue"
DOC0053,product_docs,Admin guide for plan and advanced settings,notebook,en,20,587,7,83.86,2024-06-25T00:00:00Z,2024-09-01T00:00:00Z,1,0,none,internal,all-minilm-l12-v2,hr,product_index_v2,"plan, features, pricing, subscription"
DOC0054,support_faq,"How to ticket — internal support article (EMEA, 2021)",spreadsheet,en,17,667,7,95.29,2024-05-18T00:00:00Z,2024-09-12T00:00:00Z,1,0,none,internal,gte-large,support,product_index_v2,"steps, reset, ticket, troubleshooting"
DOC0055,developer_docs,Developer integration guide — Authentication and Response,notebook,en,14,409,5,81.8,2024-05-20T00:00:00Z,2024-09-06T00:00:00Z,1,0,low,public,all-minilm-l12-v2,marketing,product_index_v2,"response, api, request, authentication"
DOC0056,support_faq,"How to steps — internal support article (AMER, 2021)",internal_doc,en,5,188,2,94.0,2024-10-06T00:00:00Z,2025-04-01T00:00:00Z,1,0,none,highly_restricted,text-embedding-3-small,product,product_index_v2,"troubleshooting, steps, ticket, reset"
DOC0057,research_papers,Internal research report on methodology and results (2024),web_article,en,25,386,5,77.2,2024-02-05T00:00:00Z,2024-05-23T00:00:00Z,1,0,none,internal,text-embedding-3-small,product,product_index_v2,"baseline, dataset, results, methodology"
DOC0058,hr_policies,Employee contract and probation policy — EMEA 2024,policy_file,en,11,532,7,76.0,2024-01-14T00:00:00Z,2024-04-11T00:00:00Z,1,0,none,internal,gte-large,finance,research_index_v1,"leave, probation, benefits, contract"
DOC0059,research_papers,Applied research summary — Methodology (2025),wiki_page,en,24,223,3,74.33,2024-11-28T00:00:00Z,2025-01-11T00:00:00Z,1,1,none,internal,all-minilm-l12-v2,hr,product_index_v2,"methodology, limitation, baseline, dataset"
DOC0060,financial_reports,Business performance review — Q2 2020,internal_doc,en,3,566,8,70.75,2024-07-06T00:00:00Z,2024-08-28T00:00:00Z,0,0,none,public,e5-mistral-7b,product,global_qa_index_v1,"segment, revenue, cost, margin"
DOC0061,product_docs,Feature reference: Pricing (2024 APAC rollout),web_article,en,4,243,3,81.0,2024-10-13T00:00:00Z,2024-11-02T00:00:00Z,1,1,low,restricted,text-embedding-3-large,marketing,research_index_v1,"plan, subscription, pricing, limits"
DOC0062,medical_guides,Treatment protocol overview — Side effects (Global),wiki_page,en,12,235,3,78.33,2024-10-04T00:00:00Z,2025-03-04T00:00:00Z,1,0,medium,restricted,text-embedding-3-small,marketing,product_index_v2,"side effects, symptoms, treatment, monitoring"
DOC0063,policies,Data and access policy — 2025 update,spreadsheet,en,25,371,5,74.2,2024-06-06T00:00:00Z,2024-09-18T00:00:00Z,1,0,none,public,bge-m3,marketing,product_index_v2,"policy, privacy, usage, terms"
DOC0064,product_docs,Admin guide for features and advanced settings,wiki_page,en,12,585,7,83.57,2024-06-07T00:00:00Z,2024-09-10T00:00:00Z,1,1,low,internal,text-embedding-3-small,data,research_index_v1,"limits, features, plan, subscription"
DOC0065,financial_reports,Business performance review — Q3 2019,spreadsheet,en,4,1844,26,70.92,2024-06-27T00:00:00Z,2024-08-05T00:00:00Z,1,1,none,restricted,all-minilm-l12-v2,engineering,global_qa_index_v1,"segment, margin, revenue, cost"
DOC0066,product_docs,Product configuration guide — Pricing and Features,pdf_manual,en,17,330,4,82.5,2024-07-07T00:00:00Z,2024-12-29T00:00:00Z,1,0,none,public,text-embedding-3-large,legal,research_index_v1,"plan, features, pricing, limits"
DOC0067,support_faq,Support playbook: handling reset and ticket tickets (2025),spreadsheet,en,20,668,7,95.43,2024-01-10T00:00:00Z,2024-04-09T00:00:00Z,1,0,none,public,bge-m3,hr,policy_index_v1,"issue, reset, steps, ticket"
DOC0068,hr_policies,Employee contract and probation policy — APAC 2023,policy_file,en,19,775,10,77.5,2024-07-24T00:00:00Z,2024-09-30T00:00:00Z,1,1,none,internal,e5-mistral-7b,legal,global_qa_index_v1,"performance, probation, benefits, contract"
DOC0069,developer_docs,Developer integration guide — Authentication and Endpoint,spreadsheet,en,18,326,4,81.5,2024-09-18T00:00:00Z,2024-10-01T00:00:00Z,1,0,low,internal,e5-mistral-7b,product,global_qa_index_v1,"authentication, api, request, endpoint"
DOC0070,financial_reports,Quarterly financial summary — Q3 2025 (APAC),policy_file,en,12,1529,21,72.81,2024-03-16T00:00:00Z,2024-05-21T00:00:00Z,1,1,low,public,bge-m3,hr,global_qa_index_v1,"segment, forecast, revenue, margin"
DOC0071,support_faq,Support playbook: handling ticket and issue tickets (2022),notebook,en,26,279,3,93.0,2024-08-22T00:00:00Z,2024-12-27T00:00:00Z,1,0,none,internal,text-embedding-3-large,engineering,policy_index_v1,"ticket, issue, steps, reset"
DOC0072,product_docs,Admin guide for limits and advanced settings,internal_doc,en,23,670,8,83.75,2024-07-07T00:00:00Z,2024-07-12T00:00:00Z,1,1,low,restricted,text-embedding-3-large,engineering,product_index_v2,"pricing, limits, features, subscription"
DOC0073,financial_reports,Revenue and margin analysis — 2024 AMER,notebook,en,7,580,8,72.5,2024-11-01T00:00:00Z,2024-11-06T00:00:00Z,0,0,none,restricted,e5-mistral-7b,support,product_index_v2,"cost, revenue, segment, margin"
DOC0074,hr_policies,Employee probation and benefits policy — AMER 2022,notebook,en,24,229,3,76.33,2024-09-05T00:00:00Z,2024-12-04T00:00:00Z,1,0,none,highly_restricted,e5-mistral-7b,marketing,policy_index_v1,"contract, probation, benefits, leave"
DOC0075,research_papers,Internal research report on methodology and baseline (2023),wiki_page,en,11,464,6,77.33,2024-03-18T00:00:00Z,2024-05-31T00:00:00Z,1,0,none,restricted,text-embedding-3-small,support,product_index_v2,"methodology, dataset, limitation, baseline"
DOC0076,developer_docs,Developer integration guide — Request and Api,wiki_page,en,9,575,7,82.14,2024-03-08T00:00:00Z,2024-07-18T00:00:00Z,0,0,low,public,text-embedding-3-large,support,policy_index_v1,"authentication, api, endpoint, request"
DOC0077,policies,"Company policy on compliance and usage (Global, 2021)",web_article,en,3,467,6,77.83,2024-09-09T00:00:00Z,2024-11-16T00:00:00Z,1,0,none,internal,gte-large,support,policy_index_v1,"compliance, usage, privacy, terms"
DOC0078,research_papers,Internal research report on results and dataset (2019),pdf_manual,en,8,921,12,76.75,2024-04-03T00:00:00Z,2024-05-19T00:00:00Z,1,0,low,public,gte-large,legal,product_index_v2,"baseline, dataset, limitation, results"
DOC0079,hr_policies,Employee probation and performance policy — AMER 2021,wiki_page,en,19,304,4,76.0,2024-12-16T00:00:00Z,2025-02-03T00:00:00Z,1,0,none,restricted,gte-large,hr,research_index_v1,"contract, probation, leave, performance"
DOC0080,policies,"Company policy on privacy and compliance (EMEA, 2024)",notebook,en,13,477,6,79.5,2024-05-07T00:00:00Z,2024-09-06T00:00:00Z,0,1,none,restricted,e5-mistral-7b,hr,global_qa_index_v1,"compliance, privacy, usage, policy"
DOC0081,hr_policies,Employee performance and contract policy — EMEA 2019,web_article,en,6,535,7,76.43,2024-11-06T00:00:00Z,2024-12-11T00:00:00Z,1,1,medium,highly_restricted,text-embedding-3-large,data,research_index_v1,"probation, performance, contract, leave"
DOC0082,medical_guides,Medication and monitoring guide — Symptoms,notebook,en,17,383,5,76.6,2024-05-31T00:00:00Z,2024-11-09T00:00:00Z,1,1,none,highly_restricted,bge-m3,data,global_qa_index_v1,"treatment, dosage, side effects, symptoms"
DOC0083,hr_policies,Employee benefits and probation policy — AMER 2022,notebook,en,11,385,5,77.0,2024-07-18T00:00:00Z,2024-12-06T00:00:00Z,1,0,none,internal,all-minilm-l12-v2,support,global_qa_index_v1,"probation, performance, benefits, contract"
DOC0084,financial_reports,Revenue and margin analysis — 2024 EMEA,internal_doc,en,20,288,4,72.0,2024-03-27T00:00:00Z,2024-04-17T00:00:00Z,1,0,none,public,text-embedding-3-small,finance,policy_index_v1,"cost, forecast, margin, revenue"
DOC0085,research_papers,Experimental study: Methodology in production systems,notebook,en,15,3895,52,74.9,2024-07-07T00:00:00Z,2024-11-13T00:00:00Z,1,1,low,public,text-embedding-3-small,engineering,research_index_v1,"results, dataset, baseline, methodology"
DOC0086,developer_docs,Developer integration guide — Request and Api,policy_file,en,9,324,4,81.0,2024-03-28T00:00:00Z,2024-07-07T00:00:00Z,1,0,low,public,e5-mistral-7b,hr,research_index_v1,"response, api, request, authentication"
DOC0087,research_papers,Internal research report on limitation and results (2025),notebook,en,19,151,2,75.5,2024-10-24T00:00:00Z,2024-12-21T00:00:00Z,1,1,none,restricted,text-embedding-3-large,data,research_index_v1,"limitation, dataset, results, baseline"
DOC0088,hr_policies,Employee benefits and performance policy — EMEA 2021,web_article,en,5,307,4,76.75,2024-05-26T00:00:00Z,2024-10-29T00:00:00Z,1,1,none,restricted,gte-large,engineering,research_index_v1,"probation, benefits, performance, contract"
DOC0089,policies,Information governance standard — Usage,spreadsheet,en,26,215,3,71.67,2024-03-28T00:00:00Z,2024-09-14T00:00:00Z,1,1,none,restricted,text-embedding-3-small,marketing,policy_index_v1,"usage, compliance, privacy, policy"
DOC0090,medical_guides,Treatment protocol overview — Treatment (Global),internal_doc,en,5,314,4,78.5,2024-09-10T00:00:00Z,2024-11-17T00:00:00Z,1,1,none,restricted,text-embedding-3-small,engineering,research_index_v1,"treatment, side effects, dosage, symptoms"
DOC0091,product_docs,Admin guide for plan and advanced settings,notebook,en,24,743,9,82.56,2024-05-18T00:00:00Z,2024-09-13T00:00:00Z,1,1,none,public,bge-m3,finance,product_index_v2,"features, limits, plan, subscription"
DOC0092,hr_policies,Employee leave and probation policy — EMEA 2024,spreadsheet,en,19,301,4,75.25,2024-04-01T00:00:00Z,2024-08-30T00:00:00Z,1,0,none,internal,text-embedding-3-small,data,product_index_v2,"probation, contract, benefits, leave"
DOC0093,support_faq,"How to steps — internal support article (APAC, 2025)",pdf_manual,en,6,190,2,95.0,2024-03-04T00:00:00Z,2024-07-19T00:00:00Z,1,1,none,restricted,text-embedding-3-large,legal,research_index_v1,"ticket, steps, troubleshooting, reset"
DOC0094,research_papers,Applied research summary — Methodology (2022),pdf_manual,en,14,297,4,74.25,2024-12-13T00:00:00Z,2025-02-07T00:00:00Z,1,0,low,public,gte-large,data,global_qa_index_v1,"baseline, methodology, limitation, results"
DOC0095,research_papers,Applied research summary — Limitation (2020),notebook,en,24,815,11,74.09,2024-08-17T00:00:00Z,2024-10-11T00:00:00Z,1,1,low,internal,all-minilm-l12-v2,engineering,product_index_v2,"limitation, baseline, dataset, methodology"
DOC0096,support_faq,Support playbook: handling ticket and troubleshooting tickets (2019),policy_file,en,14,755,8,94.38,2024-09-21T00:00:00Z,2025-01-08T00:00:00Z,0,1,none,public,text-embedding-3-small,product,research_index_v1,"ticket, steps, reset, troubleshooting"
DOC0097,medical_guides,Clinical guidance on symptoms and treatment (2022 edition),web_article,en,11,396,5,79.2,2024-08-13T00:00:00Z,2024-11-21T00:00:00Z,1,1,medium,restricted,bge-m3,product,product_index_v2,"monitoring, dosage, symptoms, treatment"
DOC0098,medical_guides,Medication and monitoring guide — Symptoms,internal_doc,en,13,305,4,76.25,2024-07-18T00:00:00Z,2025-01-12T00:00:00Z,1,1,low,restricted,text-embedding-3-large,engineering,global_qa_index_v1,"treatment, dosage, monitoring, symptoms"
DOC0099,support_faq,Support playbook: handling steps and issue tickets (2025),internal_doc,en,3,472,5,94.4,2024-01-20T00:00:00Z,2024-06-18T00:00:00Z,1,0,none,restricted,text-embedding-3-small,data,global_qa_index_v1,"reset, steps, troubleshooting, issue"
DOC0100,financial_reports,Revenue and margin analysis — 2023 APAC,spreadsheet,en,16,215,3,71.67,2024-01-26T00:00:00Z,2024-06-02T00:00:00Z,1,0,none,restricted,text-embedding-3-small,engineering,research_index_v1,"cost, revenue, margin, forecast"
DOC0101,policies,"Company policy on terms and compliance (EMEA, 2022)",web_article,en,26,691,9,76.78,2024-01-18T00:00:00Z,2024-01-30T00:00:00Z,1,0,medium,highly_restricted,e5-mistral-7b,product,product_index_v2,"terms, compliance, privacy, policy"
DOC0102,financial_reports,Revenue and margin analysis — 2025 AMER,web_article,en,18,580,8,72.5,2024-02-22T00:00:00Z,2024-07-20T00:00:00Z,1,0,low,internal,bge-m3,finance,policy_index_v1,"revenue, segment, forecast, cost"
DOC0103,research_papers,Internal research report on results and dataset (2023),wiki_page,en,3,308,4,77.0,2024-02-29T00:00:00Z,2024-08-13T00:00:00Z,1,0,low,public,e5-mistral-7b,support,policy_index_v1,"methodology, baseline, results, dataset"
DOC0104,policies,Information governance standard — Policy,policy_file,en,20,871,12,72.58,2024-06-11T00:00:00Z,2024-11-09T00:00:00Z,1,1,low,public,e5-mistral-7b,engineering,research_index_v1,"policy, usage, privacy, terms"
DOC0105,research_papers,Applied research summary — Baseline (2024),internal_doc,en,7,736,10,73.6,2024-03-29T00:00:00Z,2024-09-18T00:00:00Z,1,1,low,restricted,gte-large,hr,policy_index_v1,"methodology, baseline, limitation, results"
DOC0106,product_docs,Admin guide for limits and advanced settings,notebook,en,26,248,3,82.67,2024-06-24T00:00:00Z,2024-07-06T00:00:00Z,1,0,low,restricted,bge-m3,legal,research_index_v1,"plan, limits, features, subscription"
DOC0107,developer_docs,API reference: Response endpoint (2024),internal_doc,en,10,395,5,79.0,2024-04-06T00:00:00Z,2024-09-16T00:00:00Z,1,0,none,internal,text-embedding-3-small,marketing,product_index_v2,"request, response, endpoint, api"
DOC0108,research_papers,Applied research summary — Dataset (2020),notebook,en,18,893,12,74.42,2024-05-12T00:00:00Z,2024-06-04T00:00:00Z,1,1,medium,internal,text-embedding-3-large,hr,product_index_v2,"limitation, results, dataset, methodology"
DOC0109,product_docs,Product configuration guide — Limits and Plan,pdf_manual,en,17,331,4,82.75,2024-03-31T00:00:00Z,2024-08-21T00:00:00Z,1,0,low,restricted,bge-m3,product,research_index_v1,"subscription, plan, limits, pricing"
DOC0110,support_faq,"Issue and Reset support guide (APAC, 2022)",pdf_manual,en,23,463,5,92.6,2024-06-01T00:00:00Z,2024-08-02T00:00:00Z,1,0,none,internal,e5-mistral-7b,marketing,global_qa_index_v1,"troubleshooting, issue, steps, reset"
DOC0111,research_papers,Experimental study: Dataset in production systems,web_article,en,10,370,5,74.0,2024-06-01T00:00:00Z,2024-06-26T00:00:00Z,1,0,none,public,bge-m3,legal,research_index_v1,"dataset, baseline, methodology, results"
DOC0112,support_faq,Support playbook: handling steps and ticket tickets (2022),wiki_page,en,18,191,2,95.5,2024-11-09T00:00:00Z,2025-03-29T00:00:00Z,1,1,none,internal,gte-large,support,policy_index_v1,"ticket, issue, reset, steps"
DOC0113,product_docs,Product configuration guide — Limits and Pricing,internal_doc,en,18,581,7,83.0,2024-07-06T00:00:00Z,2024-09-06T00:00:00Z,1,1,low,highly_restricted,text-embedding-3-large,finance,policy_index_v1,"pricing, limits, plan, features"
